date,order_quantity,delivery_distance,weather_impact,is_holiday,is_promotion,delivery_time,satisfaction,day_of_week,geo_cluster_encoded,_demand_intensity,_time_pattern,_weekly_rhythm,_monthly_rhythm
2025-01-10,39,52,0,0,0,3,4.3,4,0,0.12457921344554526,0.7073823905527035,-0.6618542398298681,0.9588866947246497
2025-01-11,34,111,0,1,0,8,4.2,5,2,0.21100332015818626,0.7130888061862176,-0.5309856001293205,0.9689107832361495
2025-01-12,60,46,2,1,0,18,2.8,6,0,0.3581887554246956,0.7187615052284522,-0.38594955899532896,0.9775552389476861
2025-01-13,105,54,0,0,0,10,4.1,0,0,0.6522422663601021,0.724399590100231,-0.23061587074244044,0.984807753012208
2025-01-14,56,47,0,0,0,4,5.0,1,0,0.16226602605678067,0.7300021686993055,-0.06912904459478485,0.9906579985694317
2025-01-15,42,73,0,0,0,5,4.3,2,1,0.0694242954698856,0.7355683545415089,0.09420223632762592,0.995097645450266
2025-01-16,37,48,1,0,0,14,3.4,3,0,0.076848080809821,0.7410972669010238,0.2550200764003101,0.9981203720381463
2025-01-17,70,52,0,0,0,4,4.9,4,0,0.1744335165862888,0.7465880309497372,0.40903364194074554,0.9997218742703887
2025-01-18,92,46,2,1,1,16,2.6,5,0,0.5434537469656785,0.7520397778956622,0.5521336463530699,0.9998998717667489
2025-01-19,61,114,1,1,0,17,4.4,6,2,0.061653913446673224,0.7574516451204063,0.680501991355252,0.9986541110764565
2025-01-20,95,106,0,0,0,8,5.0,0,2,0.23568650663126414,0.7628227763156603,0.7907136389150935,0.9959863660391044
2025-01-21,99,46,1,0,0,12,3.3,1,0,0.31329412667520323,0.7681523216186912,0.8798279958164291,0.991900435258877
2025-01-22,58,104,0,0,0,11,4.9,2,2,0.15258331470398612,0.7734394377468137,0.9454673725938633,0.9864021366957146
2025-01-23,105,113,0,0,0,14,4.9,3,2,0.38688633601837824,0.778683288130821,0.9858804234473957,0.9794992993811165
2025-01-24,110,109,1,0,0,18,3.0,4,2,0.4845897602554896,0.7838830430473539,0.999988874475714,0.9712017522703763
2025-01-25,61,45,2,1,0,22,2.3,5,0,0.09593877797328496,0.7890378797501854,0.9874162934567889,0.9615213102471255
2025-01-26,104,78,0,1,0,13,4.0,6,1,0.3662241584833629,0.7941469826004025,0.9484981335597952,0.9504717573001116
2025-01-27,88,94,0,0,0,11,3.7,0,2,0.29837284269070247,0.7992095431954633,0.8842727830087777,0.9380688268961659
2025-01-28,79,83,0,0,0,10,4.1,1,1,0.2237663665214278,0.8042247604971084,0.796453859504929,0.9243301795773085
2025-01-29,77,49,0,0,0,11,4.2,2,0,0.1642916485213648,0.8091918409581076,0.6873844886291102,0.9092753778138886
2025-01-30,97,67,0,0,1,11,4.7,3,1,0.46138582746288664,0.8141099986478211,0.5599747861375953,0.8929258581495686
2025-01-31,64,72,0,0,0,4,4.8,4,1,0.09832146075036968,0.8189784553765559,0.4176242122064669,0.8753049006778131
2025-02-01,61,77,0,1,0,11,4.3,5,1,0.179247512983417,0.8237964408186971,0.2641308693166063,0.856437595893346
2025-02-02,73,43,0,1,0,9,4.3,6,0,0.34301873259799726,0.8285631926345942,0.10359016383223932,0.8363508089657762
2025-02-03,77,53,0,0,0,11,3.8,0,0,0.2746698380360602,0.833277956591186,-0.05971446488320985,0.8150731414862624
2025-02-04,91,112,1,0,0,16,4.0,1,2,0.4432945779277498,0.8379399866813395,-0.22142583232155907,0.7926348907416848
2025-02-05,27,111,1,0,1,15,4.0,2,2,0.13272443189522465,0.8425485452418904,-0.3772292643027698,0.769068006574317
2025-02-06,75,36,0,1,0,2,4.6,3,0,0.4006430877209991,0.8471029030703612,-0.5229677182158023,0.744406045888419
2025-02-07,71,107,0,1,0,13,3.8,4,2,0.32259603850098684,0.8516023395403419,-0.6547526984397349,0.7186841248685385
2025-02-08,67,46,0,1,0,8,5.0,5,0,0.2923618255131976,0.8560461427155126,-0.7690680065743166,0.6919388689775462
2025-02-09,37,75,0,1,1,6,4.8,6,1,0.11357697325263676,0.8604336094622925,-0.862863558285931,0.6642083608056142
2025-02-10,43,107,0,0,0,11,4.6,0,2,0.34155895722546276,0.8647640455610942,-0.9336367636108461,0.6355320858443845
2025-02-11,42,104,1,0,0,10,4.2,1,2,0.16999587395941756,0.8690367658161695,-0.9794992993811165,0.6059508762635484
2025-02-12,90,111,0,0,0,17,3.5,2,2,0.8014732049023443,0.8732510941640259,-0.9992274921960794,0.5755068527698903
2025-02-13,28,53,0,1,0,1,5.0,3,0,0.13177062408757453,0.8774063637803994,-0.9922949676548137,0.5442433646315792
2025-02-14,36,113,0,0,0,13,4.1,4,2,0.12549965919150205,0.8815019171857637,-0.9588866947246498,0.5122049279531147
2025-02-15,46,49,0,1,0,6,5.0,5,0,0.3370138954716539,0.8855371063493623,-0.8998940505233184,0.47943716228880995
2025-02-16,15,119,0,1,0,12,5.0,6,2,0.03439862200520179,0.8895112927917456,-0.8168910371929057,0.44598672568507636
2025-02-17,46,115,2,0,0,22,2.9,0,2,0.15937752033309405,0.893423847685795,-0.7120922854310259,0.4119012482439928
2025-02-18,73,79,0,0,0,6,4.1,1,1,0.2615158445906097,0.8972741519562218,-0.5882939652008056,0.37722926430277026
2025-02-19,69,47,0,0,0,5,3.5,2,0,0.2491194021961276,0.9010615963775219,-0.44879918020046267,0.3420201433256689
2025-02-20,50,116,0,0,0,15,4.2,3,2,0.0685869246308145,0.904785581670372,-0.2973298366671729,0.3063240196067838
2025-02-21,97,55,2,1,0,21,3.1,4,0,0.45950640724990544,0.9084455185964526,-0.1379273379726542,0.27019172088378224
2025-02-22,107,42,0,1,0,5,4.5,5,0,0.5414781386117564,0.9120408280516822,0.02515524538937522,0.23367469596425278
2025-02-23,82,115,0,1,1,8,4.6,6,2,0.26059606181093153,0.9155709411578468,0.18756665337583647,0.19682494146770554
2025-02-24,72,79,1,0,0,12,4.1,0,1,0.06753590748378506,0.9190352993526132,0.34497353379458984,0.15969492778754976
2025-02-25,51,105,0,1,0,17,4.6,1,2,0.04676883497272682,0.9224333544779089,0.49317606189947377,0.12233752437845731
2025-02-26,79,40,0,0,1,3,4.7,2,0,0.12713147658095109,0.9257645688666556,0.6282199972956417,0.0848059244755095
2025-02-27,99,48,0,0,0,6,4.6,3,0,0.3265987258278122,0.9290284154278438,0.7465021883280515,0.04715356935230619
2025-02-28,82,109,0,0,0,16,4.1,4,2,0.11912486541113898,0.9322243777299324,0.8448667089558174,0.009434072225897046
2025-03-01,77,87,0,1,0,8,4.6,5,1,0.10776704550146234,0.9353519500825638,0.9206890630528628,-0.02829885808311759
2025-03-02,109,54,0,1,0,7,4.4,6,0,0.32460102630740867,0.9384106376165768,0.9719462094522334,-0.06599149362662023
2025-03-03,86,107,0,0,0,14,4.0,0,2,0.21935449118475614,0.9413999563623098,0.9972705393728326,-0.10359016383223883
2025-03-04,98,81,0,0,0,15,4.0,1,1,0.30479223202169464,0.944319433326178,0.9959863660391044,-0.14104133192491908
2025-03-05,106,84,0,0,0,8,4.6,2,1,0.403730071467841,0.9471686065655136,0.9681279529021191,-0.1782916711579755
2025-03-06,98,80,0,0,0,14,3.9,3,1,0.18412892169781056,0.9499470252616591,0.9144385994451661,-0.2152881407450901
2025-03-07,93,107,0,0,0,11,4.2,4,2,0.23447365948588197,0.9526542497912983,0.8363508089657767,-0.25197806138512474
2025-03-08,81,107,2,1,0,19,3.9,5,2,0.175068748991844,0.9552898517960178,0.7359480674841041,-0.2883091902722216
2025-03-09,88,111,0,1,0,13,4.8,6,2,0.2673316734797696,0.9578534142500845,0.6159092535671805,-0.32422979548437053
2025-03-10,86,52,0,0,0,3,4.3,0,0,0.238699744225137,0.9603445315264315,0.4794371622888108,-0.3596887296445355
2025-03-11,107,108,0,1,0,14,4.7,1,2,0.32579561073076047,0.9627628094608389,0.3301730504008379,-0.3946355027494405
2025-03-12,85,66,0,0,0,17,4.4,2,1,0.4434878606676832,0.9651078654143022,0.1720994827641702,-0.4290203540623263
2025-03-13,94,73,0,0,0,12,4.3,3,1,0.3855671372233749,0.9673793283335754,0.009434072225896204,-0.46279432296729867
2025-03-14,58,53,0,0,1,6,4.3,4,0,0.09615258168656671,0.9695768388098838,-0.15348305189621678,-0.4959093186843889
2025-03-15,51,99,0,1,0,14,3.9,5,2,0.2089847738799713,0.9717000491357906,-0.3123050442314899,-0.5283181887460511
2025-03-16,67,115,0,1,0,10,4.6,6,2,0.16619623428044838,0.9737486233602148,-0.4627943229672994,-0.5599747861375949
2025-03-17,60,55,1,0,0,9,3.6,0,0,0.22721487350505115,0.9757222373415884,-0.6009356341631232,-0.5908340350059578
2025-03-18,72,80,0,1,1,9,5.0,1,1,0.47592049646427265,0.9776205787991434,-0.7230431840615096,-0.6208519948432432
2025-03-19,20,112,0,0,0,11,5.0,2,2,0.11588479103164939,0.9794433473623249,-0.8258589809635434,-0.6499859230536464
2025-03-20,45,52,0,1,0,2,4.9,3,0,0.1718540724955221,0.9811902546183167,-0.9066397627768895,-0.6781943358146659
2025-03-21,48,109,0,0,0,10,5.0,4,2,0.24093580883068486,0.9828610241576773,-0.9632301908939127,-0.7054370671459529
2025-03-22,33,73,0,1,0,7,4.4,5,1,0.19658545353951162,0.9844553916180747,-0.9941203574899393,-0.731675326101678
2025-03-23,29,84,0,1,0,13,4.0,6,1,0.15450740124203077,0.9859731047261168,-0.9984860718705224,-0.7568717520049916
2025-03-24,63,57,0,0,0,3,5.0,0,0,0.3024753876496196,0.9874139233372671,-0.9762108509744295,-0.7809904676459172
2025-03-25,32,43,1,0,1,5,5.0,1,0,0.2628503990216566,0.9887776194738431,-0.9278890272965092,-0.8039971303669401
2025-03-26,48,102,1,1,0,16,4.6,2,2,0.17838548982713634,0.9900639773610882,-0.854809891306926,-0.8258589809635432
2025-03-27,34,49,0,0,0,9,4.7,3,0,0.07140336869412171,0.9912727934613139,-0.7589232914680888,-0.8465448903300604
2025-03-28,73,106,0,0,0,13,4.7,4,2,0.36804793518398216,0.9924038765061041,-0.6427876096865393,-0.8660254037844385
2025-03-29,49,50,1,1,0,11,4.1,5,0,0.16500239921085022,0.99345704752658,-0.5095015002838731,-0.8842727830087774
2025-03-30,107,56,0,1,1,6,5.0,6,0,0.6463769483914986,0.9944321398817179,-0.3626212137816669,-0.9012610455459443
2025-03-31,87,38,0,0,0,7,4.8,0,0,0.5031230845032987,0.9953289992847159,-0.20606571141169258,-0.9169660017960133
2025-04-01,89,87,0,0,0,13,4.7,1,1,0.40864698504559716,0.9961474838274068,-0.04401210202238171,-0.931365289459854
2025-04-02,96,107,0,0,0,11,3.8,2,2,0.3784719386186747,0.9968874640027121,0.11921580873617328,-0.9444384053808287
2025-04-03,108,52,0,0,0,4,4.7,3,0,0.4808171104256128,0.997548822725133,0.27926288329282994,-0.9561667347392507
2025-04-04,111,53,0,0,0,4,5.0,4,0,0.45015277145501226,0.9981314553492772,0.43185885301329724,-0.9665335775580413
2025-04-05,88,53,0,1,0,9,4.9,5,0,0.31485465592718676,0.9986352696864164,0.5729322546420198,-0.9755241724818386
2025-04-06,98,80,0,1,0,5,5.0,6,1,0.3458306244455384,0.9990601860190731,0.6987190623523672,-0.9831257177957041
2025-04-07,120,81,1,0,0,20,3.5,0,1,0.5386521682270735,0.9994061371136346,0.805863116957669,-0.9893273896534934
2025-04-08,101,111,0,0,0,11,4.1,1,2,0.30617217969438143,0.9996730682309904,0.8915056726982838,-0.9941203574899392
2025-04-09,103,76,0,0,0,10,4.4,2,1,0.14558813424442504,0.9998609371351943,0.9533616723774292,-0.9974977965944997
2025-04-10,117,71,0,0,0,11,4.4,3,1,0.4518857472364912,0.9999697141001469,0.9897807157237835,-0.9994548978290693
2025-04-11,100,43,1,1,0,9,4.2,4,0,0.35993742481792457,0.9999993819142987,0.9997910942639262,-0.999988874475714
2025-04-12,87,109,1,1,0,16,3.2,5,2,0.06190643377169209,0.9999499358833744,0.9831257177957043,-0.9990989662046815
2025-04-13,111,46,0,1,0,7,4.5,6,0,0.2328545928203029,0.999821383831115,0.9402292407097591,-0.9967864401570343
2025-04-14,80,46,0,0,0,3,4.8,0,0,0.19208246644942936,0.9996137460980397,0.8722461980194866,-0.9930545891403677
2025-04-15,143,88,1,0,0,13,2.7,1,1,0.5199092769591175,0.9993270555382283,0.7809904676459177,-0.9879087269401782
2025-04-16,95,84,0,0,0,7,5.0,2,1,0.22019437403991562,0.9989613575141216,0.6688968737443399,-0.9813561807535597
2025-04-17,89,78,0,0,0,13,4.4,3,1,0.13772023575141254,0.998516709889345,0.5389562223602169,-0.9734062807560028
2025-04-18,123,83,0,0,0,11,4.5,4,1,0.47197128618272305,0.9979931830195522,0.39463550274944137,-0.9640703468161508
2025-04-19,83,107,0,1,0,10,4.2,5,2,0.1588460545173127,0.9973908597412926,0.23978538349773657,-0.9533616723774295
2025-04-20,57,50,0,1,0,8,4.9,6,0,0.059689475270839516,0.9967098353589053,0.07853747156567026,-0.9412955055295036
2025-04-21,94,112,0,0,0,10,4.0,0,2,0.34081565965226834,0.9959502176294385,-0.08480592447550853,-0.9278890272965095
2025-04-22,76,77,0,0,0,3,4.5,1,1,0.30664861826340883,0.9951121267455993,-0.24588658575384958,-0.9131613271729835
2025-04-23,77,76,2,0,0,21,3.2,2,1,0.2789555071166884,0.9941956953167363,-0.4004066661678032,-0.8971333759423143
2025-04-24,79,86,1,0,1,20,3.7,3,1,0.3288097857207583,0.9932010683478574,-0.5442433646315784,-0.8798279958164298
2025-04-25,61,53,2,1,0,18,2.5,4,0,0.40649018963913885,0.9921284032166844,-0.6735589268868653,-0.8612698279392309
2025-04-26,69,98,2,1,0,15,4.0,5,2,0.32345967824352123,0.9909778696487533,-0.7849030418864039,-0.8414852973000504
2025-04-27,43,76,0,1,1,8,4.2,6,1,0.18134288505174043,0.9897496496905582,-0.8753049006778125,-0.8205025751070878
2025-04-28,38,46,0,0,0,4,4.7,0,0,0.11034442080402906,0.9884439376807463,-0.9423524615343184,-0.7983515386744063
2025-04-29,32,76,0,0,0,9,5.0,1,1,0.06261134174457317,0.9870609402193682,-0.9842568064333684,-0.7750637288796017
2025-04-30,64,114,1,0,1,15,2.7,2,2,0.3893738659278771,0.9856008761351882,-0.9998998717667489,-0.7506723052527245
2025-05-01,61,80,0,0,0,8,3.7,3,1,0.22081199239815466,0.9840639764510595,-0.9888642797634358,-0.7252119987603978
2025-05-02,28,103,2,0,0,16,3.4,4,2,0.17057746068742893,0.9824504843473696,-0.9514444746831769,-0.698719062352368
2025-05-03,15,48,0,1,0,5,3.5,5,0,0.06763603384706811,0.9807606551235628,-0.8886388666523564,-0.6712312193409035
2025-05-04,29,52,1,1,1,6,3.1,6,0,0.20636937130196562,0.9789947561577445,-0.8021231927550444,-0.6427876096865396
2025-05-05,76,48,0,0,0,7,5.0,0,0,0.35879012288277545,0.9771530668643744,-0.6942058061407234,-0.6134287342666622
2025-05-06,57,76,0,0,0,6,4.5,1,1,0.316899984774653,0.9752358786500558,-0.5677660860947088,-0.5831963972062739
2025-05-07,51,51,1,0,0,1,5.0,2,0,0.1365637082251592,0.9732434948674262,-0.42617761237243634,-0.552133646353071
2025-05-08,61,58,0,0,0,9,4.0,3,0,0.21708374305025172,0.9711762307671593,-0.273218153608467,-0.5202847119815792
2025-05-09,50,112,1,0,0,18,3.4,4,2,0.1363792431986001,0.9690344134480829,-0.11296887142907407,-0.487694943813635
2025-05-10,65,116,0,1,1,17,4.4,5,2,0.06373493040686784,0.9668183818054231,0.050294570363364925,-0.45441074644487806
2025-05-11,111,107,0,1,0,6,4.9,6,2,0.5785716282335199,0.9645284864771815,0.21221608618250665,-0.4204795132692152
2025-05-12,73,49,0,0,0,4,4.6,0,0,0.16737543318713216,0.9621650897886542,0.36847539481024866,-0.38594955899532896
2025-05-13,114,49,0,0,0,7,4.3,1,0,0.485750585203021,0.9597285656951027,0.5149032902408115,-0.35087005085133094
2025-05-14,95,50,0,0,0,8,4.7,2,0,0.2231288814404552,0.9572192997225829,0.647592881637393,-0.3152909385755031
2025-05-15,96,112,0,0,0,8,5.0,3,2,0.37344884728495387,0.9546376889069443,0.7630038343715264,-0.2792628832928309
2025-05-16,118,105,0,0,0,14,4.7,4,2,0.38660756941930585,0.9519841417310081,0.8580568308556867,-0.24283718537858734
2025-05-17,115,83,0,1,0,8,4.2,5,1,0.29103929254547434,0.9492590780599337,0.9302157308286038,-0.20606571141169297
2025-05-18,94,41,0,1,1,0,4.5,6,0,0.3584957567261279,0.9464629290747844,0.9775552389476859,-0.16900082032184968
2025-05-19,112,73,0,0,0,7,4.3,0,1,0.36884852544610003,0.9435961372043021,0.998812274227269,-0.13169528883562445
2025-05-20,113,60,1,0,0,14,3.1,1,0,0.43385584819172346,0.9406591560549036,0.9934196707178109,-0.0942022363276273
2025-05-21,84,47,0,0,0,0,5.0,2,0,0.05932432661715326,0.9376524503389065,0.961521310247126,-0.056575049183792726
2025-05-22,74,83,0,0,0,11,4.8,3,1,0.15373830274583952,0.9345764958009994,0.9039682834620167,-0.018867304784467676
2025-05-23,154,118,0,1,0,15,4.2,4,2,0.690927168796683,0.9314317791429656,0.8222961815988103,0.0188673047844663
2025-05-24,55,38,0,1,0,4,5.0,5,0,0.04927096831835294,0.928218797946673,0.7186841248685395,0.056575049183791346
2025-05-25,79,55,0,1,0,2,5.0,6,0,0.18591584017139418,0.9249380605953433,0.5958966206338991,0.09420223632762592
2025-05-26,91,113,2,0,0,18,3.2,0,2,0.2715695031402613,0.9215900861931112,0.4572098026790807,0.13169528883562306
2025-05-27,80,58,1,0,0,11,4.3,1,0,0.3219105263709601,0.918175404482888,0.3063240196067851,0.16900082032184832
2025-05-28,90,44,0,1,0,2,4.4,2,0,0.48209428949031524,0.9146945557625414,0.14726510462014297,0.2060657114116916
2025-05-29,79,57,0,0,1,6,4.5,3,0,0.319706275524256,0.9111480907994047,-0.015723039057039142,0.24283718537858687
2025-05-30,90,46,1,0,1,14,4.4,4,0,0.4916099383257625,0.9075365707431312,-0.1782916711579741,0.2792628832928296
2025-05-31,54,55,0,1,0,5,4.4,5,0,0.18417297086710416,0.9038605670369035,-0.33610324454221424,0.3152909385755018
2025-06-01,43,109,0,1,1,10,5.0,6,2,0.029392249773945323,0.9001206613270161,-0.484947136717486,0.35087005085132966
2025-06-02,67,53,0,0,0,5,5.0,0,0,0.43832440071116074,0.8963174453708425,-0.620851994843242,0.3859495589953277
2025-06-03,50,80,0,0,1,12,4.8,1,1,0.22019917819165558,0.8924515209432022,-0.7401916967019422,0.4204795132692139
2025-06-04,30,70,2,0,0,21,2.3,2,1,0.1272898020531447,0.8885234997411443,-0.8397821004585386,0.45441074644487683
2025-06-05,68,64,0,0,1,9,4.4,3,1,0.5623099425360222,0.8845340032871585,-0.9169660017960125,0.48769494381363376
2025-06-06,30,111,0,0,0,12,4.7,4,2,0.1351692568264888,0.8804836628308339,-0.9696840316576871,0.520284711981578
2025-06-07,33,108,0,1,0,12,3.9,5,2,0.18926525270317185,0.8763731192489775,-0.9965296029503365,0.5521336463530699
2025-06-08,42,51,1,1,0,15,3.6,6,0,0.2788522124309327,0.8722030229442095,-0.9967864401570344,0.5831963972062728
2025-06-09,56,108,1,0,0,18,4.0,0,2,0.2584988688589334,0.8679740337420517,-0.9704476905197975,0.6134287342666611
2025-06-10,34,90,0,0,0,14,4.0,1,1,0.1713624183536284,0.8636868207865245,-0.9182161068802749,0.6427876096865385
2025-06-11,53,111,0,0,0,10,4.0,2,2,0.3902904125361203,0.8593420624342692,-0.8414852973000514,0.6712312193409025
2025-06-12,37,77,0,0,1,4,3.9,3,1,0.13884092876465817,0.8549404461472144,-0.7423025417456108,0.698719062352367
2025-06-13,73,111,1,1,0,15,3.5,4,2,0.4659217194194351,0.8504826683837989,-0.6233141679382185,0.7252119987603968
2025-06-14,78,107,1,1,0,15,4.1,5,2,0.6157519764816631,0.8459694344887732,-0.4876949438136366,0.7506723052527237
2025-06-15,60,50,0,1,0,11,4.0,6,0,0.3073799210471541,0.8414014585815945,-0.3390633704946775,0.7750637288796014
2025-06-16,64,73,1,0,1,15,3.7,0,1,0.3116610941567272,0.836779463443433,-0.18138513587265345,0.7983515386744056
2025-06-17,53,109,0,0,0,10,4.4,1,2,0.1347012643177103,0.8321041804028071,-0.01886730478446599,0.820502575107087
2025-06-18,125,107,0,0,0,15,3.9,2,2,0.7239031844967967,0.8273763492198676,0.14415393106795935,0.8414852973000496
2025-06-19,63,44,0,0,0,5,5.0,3,0,0.11910027770778647,0.8225967179693469,0.30332894847462766,0.8612698279392301
2025-06-20,95,119,0,0,0,18,4.9,4,2,0.28538578892011157,0.8177660429221922,0.45441074644487833,0.8798279958164291
2025-06-21,109,44,0,1,0,5,5.0,5,0,0.514309690041867,0.8128850884259029,0.5933682618376211,0.8971333759423138
2025-06-22,94,50,0,1,0,2,4.5,6,0,0.15648979507517,0.8079546267835899,0.7164939234827814,0.9131613271729829
2025-06-23,84,75,0,0,0,8,5.0,0,1,0.26055752603134724,0.8029754381317742,0.820502575107088,0.9278890272965089
2025-06-24,70,51,0,0,0,5,5.0,1,0,0.13981359053542353,0.7979483103169489,0.9026191276690329,0.9412955055295031
2025-06-25,109,103,0,0,0,8,4.3,2,2,0.388093991336372,0.7928740387709199,0.9606526024223213,0.9533616723774291
2025-06-26,125,54,0,0,0,9,4.1,3,0,0.4641645770320866,0.7877534263849452,0.9930545891403674,0.9640703468161504
2025-06-27,63,120,0,0,1,17,4.7,4,2,0.12845804774166797,0.7825872833826963,0.9989605597588274,0.9734062807560024
2025-06-28,67,45,0,1,0,2,5.0,5,0,0.0552063959733059,0.7773764271920587,0.978212935133209,0.9813561807535595
2025-06-29,58,56,0,1,0,9,4.1,6,0,0.017279127080126834,0.7721216823157896,0.9313652894598539,0.987908726940178
2025-06-30,78,48,1,0,0,9,3.9,0,0,0.15924986868506363,0.7668238802010613,0.8596675801807466,0.9930545891403676
2025-07-01,86,57,1,0,0,12,3.7,1,0,0.2667449952728772,0.7614838591079014,0.7650327974578895,0.9967864401570342
2025-07-02,122,60,1,0,0,13,3.4,2,0,0.529692033598347,0.7561024639765573,0.6499859230536489,0.9990989662046814
2025-07-03,82,48,0,0,0,6,5.0,3,0,0.3071017670062408,0.7506805462938031,0.5175965604618779,0.999988874475714
2025-07-04,87,72,0,0,0,10,4.9,4,1,0.2504805636294226,0.7452189639582103,0.3713970338075709,0.9994548978290694
2025-07-05,81,54,0,1,0,4,5.0,5,0,0.40355832138751585,0.7397185811444049,0.21528814074508978,0.9974977965944998
2025-07-06,85,81,0,1,0,13,4.7,6,1,0.3696214928596068,0.7341802681663304,0.05343507399306047,0.9941203574899394
2025-07-07,58,52,0,0,1,7,4.1,0,0,0.22078097776764183,0.7286049013395397,-0.10984371154250049,0.9893273896534936
2025-07-08,55,108,0,0,0,14,4.0,1,2,0.09074148599417395,0.7229933628425382,-0.27019172088377913,0.9831257177957046
2025-07-09,51,105,1,0,0,14,4.5,2,2,0.42629856137072764,0.717346540577198,-0.4233306560565348,0.9755241724818389
2025-07-10,39,85,0,0,0,6,4.8,3,1,0.3076570372812911,0.7116653280282672,-0.5651745667653901,0.9665335775580415
2025-07-11,43,51,2,0,0,19,2.3,4,0,0.08686886954251043,0.7059506241219964,-0.6919388689775464,0.9561667347392514
